,TOTAL SAT
0,568.4
1,400.2
2,6439.6
3,6440.3
4,599.0
5,335.37
6,495.64
7,0.0
8,417.6
9,0.0
10,0.0
11,0.0
12,172.1
13,2527.34
14,549.01
15,392.08
16,605.65
17,198.0
18,399.0
19,45.01
20,1972.0
21,0.0
22,0.0
23,0.0
24,168.5
25,1400.65
26,8960.82
27,18717.37
28,384.59
29,17.5
30,15653.83
31,4766.66
32,540.35
33,266.8
34,0.0
35,436.8
36,639.19
37,0.0
38,1353.5
39,19625.94
40,444.04
41,72.0
42,288.7
43,162.5
44,468.0
45,3781.4
46,49413.78
47,6349.2
48,0.0
49,729.77
50,113.67
51,1360.06
52,261.32
53,26324.21
54,18639.63
55,8700.0
56,3403.05
57,78.92
58,0.0
59,19620.09
60,45820.0
61,0.0
62,2320.0
63,0.0
64,26693.32
65,33.7
66,197.4
67,2064.8
68,4.8
69,1418.8
70,116.0
71,500.0
72,370.48
73,133.45
74,0.0
75,250.0
76,1646.83
77,0.0
78,0.0
79,9963.18
80,16773.81
81,4785.81
82,3287.46
83,200.0
84,74.92
85,24608.79
86,0.0
87,0.0
88,1037.0
89,113.13
90,9000.0
91,398.99
92,0.0
93,0.0
94,0.0
95,0.0
96,16579.62
97,77.25
98,2267.8
99,4940.1
100,500.0
101,263.47
102,22.0
103,2027.51
104,6349.2
105,518.0
106,57.73
107,10527.34
108,283.81
109,19723.57
110,29.0
111,100.0
112,4521.21
113,338.57
114,4102.55
115,0.0
116,0.0
117,25805.64
118,43500.0
119,0.0
120,0.0
121,390.0
122,1740.0
123,1740.0
124,1740.0
125,19625.94
126,0.0
127,17400.0
128,3238.9
129,28600.0
130,3480.0
131,3688.8
132,353.34
133,568.4
134,313.2
135,4520.01
136,6439.6
137,6440.3
138,2433.84
139,-433.84
140,263.8
141,319.83
142,-599.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,10237.0
150,0.0
151,417.6
152,9161.62
153,17788.6
154,4766.66
155,3122.75
156,237.1
157,23110.68
158,387.46
159,205.8
160,259.9
161,844.0
162,0.0
163,549.01
164,2872.07
165,392.08
166,178.0
167,2300.0
168,6349.2
169,1276.0
170,356.64
171,0.0
172,1400.65
173,2064.45
174,35.36
175,22.0
176,0.0
177,0.0
178,2262.0
179,277.59
180,472.93
181,10015.17
182,4725.3
183,19994.77
184,4481.13
185,131.0
186,28423.46
187,4605.73
188,399.0
189,43.58
190,257.79
191,0.0
192,5161.54
193,232.0
194,0.0
195,28600.0
196,74.78
197,250.0
198,891.0
199,490.39
200,178.71
201,0.0
202,1740.0
203,0.0
204,5000.0
205,116.64
206,0.0
207,0.0
208,1250.12
209,10545.36
210,2320.0
211,19411.92
212,1397.33
213,789.0
214,3462.28
215,171.94
216,29584.72
217,2728.65
218,4017.0
219,8561.54
220,0.0
221,650.69
222,722.7
223,0.0
224,0.0
225,0.0
226,96.35
227,398.99
228,129.67
229,6349.2
230,2900.0
231,3480.0
232,282.56
233,2267.8
234,739.5
235,21054.0
236,2195.8
237,0.0
238,2252.2
239,0.0
240,10134.46
241,19411.92
242,0.0
243,2076.92
244,435.76
245,29021.02
246,0.0
247,894.0
248,285.0
249,28600.0
250,600.02
251,4102.55
252,1740.0
253,1740.0
254,2320.0
255,11600.0
256,1146.8
257,722.0
258,870.06
259,568.4
260,382.8
261,3238.9
262,9533.32
263,0.0
264,144.69
265,0.0
266,6439.6
267,6440.3
268,0.0
269,0.0
270,186.25
271,20167.0
272,0.0
273,0.0
274,98.0
275,399.0
276,162.45
277,0.0
278,0.0
279,140.36
280,417.6
281,15627.0
282,1377.05
283,1803.7
284,4725.3
285,16566.27
286,3069.1
287,126.18
288,14708.34
289,23271.47
290,96.4
291,549.01
292,2626.33
293,677.82
294,207.88
295,4872.0
296,4640.0
297,392.08
298,250.0
299,6349.2
300,332.49
301,0.0
302,83.21
303,1400.65
304,0.0
305,218.0
306,36.0
307,276.0
308,106.5
309,159.8
310,103.5
311,105.91
312,0.0
313,40452.69
314,2320.0
315,20075.22
316,1160.0
317,1102.0
318,2936.22
319,182.79
320,15494.16
321,0.0
322,28600.0
323,265.05
324,0.0
325,250.72
326,25793.05
327,1291.05
328,3341.45
329,200.0
330,5421.69
331,0.0
332,220.39
333,26698.26
334,4118.3
335,4754.84
336,0.0
337,362.05
338,129.67
339,22330.0
340,4725.3
341,100.0
342,17989.61
343,-291.75
344,-349.0
345,15647.52
346,769.0
347,300.0
348,300.0
349,395.0
350,2130.28
351,105.19
352,0.0
353,25714.67
354,286.82
355,0.0
356,0.0
357,968.0
358,665.16
359,0.0
360,398.99
361,4895.5
362,6349.2
363,113.77
364,5.14
365,2126.5
366,4725.3
367,2267.8
368,17284.09
369,3601.58
370,15537.17
371,15493.99
372,2900.0
373,301.61
374,1867.93
375,677.17
376,3195.17
377,25408.29
378,129.67
379,0.0
380,1958.5
381,0.0
382,3255.87
383,81.29
384,3510.0
385,1286.9
386,100.0
387,300.0
388,173.89
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,786.46
395,0.0
396,3238.9
397,2900.0
398,3480.0
399,325.48
400,200.0
401,749.5
402,11600.0
403,15932.61
404,14354.33
405,6000.0
406,305.09
407,4102.55
408,23175.13
409,1482.37
410,28600.0
411,35.12
412,0.0
413,12277.77
414,17249.57
415,568.4
416,400.2
417,1547.2
418,-499.0
419,6439.6
420,6440.3
421,2822.56
422,549.01
423,0.0
424,0.0
425,401.46
426,809.68
427,0.0
428,0.0
429,9574.78
430,0.0
431,0.0
432,0.0
433,4766.66
434,28600.0
435,169.78
436,4102.55
437,0.0
438,37.91
439,17693.22
440,15683.2
441,26111.71
442,6586.51
443,183.22
444,-4102.55
445,26111.71
446,2550.0
447,1400.65
448,0.0
449,6349.2
450,28.91
451,0.0
452,0.0
453,4725.3
454,1078.8
455,166.58
456,254.25
457,367.72
458,399.0
459,2900.0
460,216.99
461,0.0
462,90.0
463,240.0
464,129.67
465,250.0
466,5153.31
467,0.0
468,28600.0
469,90.45
470,3480.0
471,52130.78
472,15494.16
473,6881.93
474,5573.94
475,345.76
476,25849.79
477,0.0
478,2320.0
479,4725.3
480,30717.27
481,86.34
482,868.72
483,0.0
484,0.0
485,0.0
486,0.0
487,7888.0
488,898.8
489,0.0
490,1307.0
491,0.0
492,11600.0
493,636.22
494,0.0
495,300.0
496,0.0
497,80.47
498,1680.0
499,136.8
500,468.06
501,87.71
502,0.0
503,2318.1
504,180.0
505,2552.0
506,25213.19
507,7608.22
508,4454.24
509,271.6
510,69.6
511,26986.04
512,0.0
513,6349.2
514,246.84
515,0.0
516,0.0
517,0.0
518,2126.5
519,2267.8
520,0.0
521,367.73
522,2105.91
523,3867.9
524,500.0
525,228.08
526,4102.55
527,240.0
528,0.0
529,0.0
530,2668.0
531,0.0
532,94.71
533,525.0
534,23283.72
535,191.0
536,1366.75
537,7030.45
538,270.0
539,4000.0
540,8816.42
541,3238.9
542,28600.0
543,192.34
544,18.0
545,24352.14
546,1766.38
547,125.86
548,0.0
549,22015.75
550,17321.04
551,400.0
552,6439.6
553,6440.3
554,568.4
555,313.2
556,0.0
557,1680.0
558,258.0
559,100.0
560,4766.66
561,145.25
562,2723.56
563,549.01
564,2530.01
565,417.6
566,299.42
567,99.0
568,0.0
569,0.0
570,-26111.69
571,0.0
572,0.0
573,2900.0
574,2320.0
575,71.06
576,480.01
577,0.0
578,84.85
579,129.67
580,313.2
581,1400.65
582,25791.95
583,116.0
584,7608.22
585,1737.56
586,26408.74
587,11600.0
588,0.0
589,0.0
590,150.25
591,100.0
592,927.01
593,1480.7
594,1973.0
595,1952.2
596,138.01
597,938.73
598,0.0
599,1680.0
600,6349.2
601,367.72
602,15494.16
603,259.0
604,45.0
605,4725.3
606,0.0
607,0.0
608,954.49
609,279.01
610,129.67
611,25696.26
612,5967.09
613,269.0
614,7608.22
615,2900.0
616,1078.8
617,736.78
618,26259.98
619,0.0
620,12947.0
621,28600.0
622,399.0
623,994.0
624,0.0
625,0.0
626,2320.0
627,232.0
628,3480.0
629,25622.16
630,8972.55
631,17806.0
632,2262.0
633,4456.15
634,26047.26
635,6960.0
636,4725.3
637,4725.3
638,0.0
639,2592.45
640,6349.2
641,163.98
642,0.0
643,2126.5
644,2267.8
645,611.2
646,0.0
647,1202.53
648,0.0
649,4224.83
650,4349.96
651,0.0
652,0.0
653,11484.0
654,4725.3
655,16475.24
656,0.0
657,0.0
658,0.0
659,23025.47
660,2214.5
661,1563.2
662,0.0
663,10802.07
664,0.0
665,1957.63
666,27058.53
667,252.0
668,87.0
669,131.0
670,34.0
671,644.0
672,2900.0
673,0.0
674,3238.9
675,-231.07
676,7398.25
677,28600.0
678,2453.14
679,0.0
680,1248.0
681,568.4
682,243.6
683,0.0
684,2204.0
685,0.0
686,6439.6
687,6440.3
688,150.0
689,3201.6
690,0.0
691,0.0
692,18787.98
693,9943.51
694,0.0
695,0.0
696,0.0
697,580.0
698,1050.7
699,0.0
700,23317.66
701,8120.0
702,417.6
703,244.3
704,169.0
705,99.0
706,0.0
707,399.0
708,38.0
709,2015.0
710,1815.0
711,1829.0
712,7018.0
713,1522.5
714,2723.56
715,549.01
716,11600.0
717,4766.66
718,22724.77
719,338.41
720,366.68
721,313.2
722,782.0
723,367.72
724,9280.0
725,4303.36
726,1400.65
727,0.0
728,24275.0
729,10802.07
730,6349.2
731,5189.11
732,26243.48
733,13948.12
734,2336.05
735,956.25
736,46745.55
737,351.99
738,270.16
739,33.5
740,791.15
741,379.0
742,5936.66
743,0.0
744,0.0
745,2320.0
746,150.0
747,0.0
748,3480.0
749,24786.65
750,615.0
751,0.0
752,24937.02
753,10802.07
754,823.36
755,2900.0
756,2668.0
757,1630.35
758,26886.18
759,129.68
760,0.0
761,0.0
762,218.0
763,36.0
764,276.0
765,0.0
766,0.0
767,1009.0
768,2126.5
769,2267.8
770,24527.96
771,0.0
772,10324.95
773,2908.29
774,0.0
775,0.0
776,25606.95
777,129.68
778,0.0
779,5901.64
780,5901.64
781,80.0
782,3686.0
783,1968.7
784,0.0
785,6349.2
786,0.0
787,4224.83
788,2074.92
789,256.0
790,179.8
791,454.3
792,7540.0
793,19743.2
794,129.68
795,923.33
796,0.0
797,0.0
798,8910.02
799,3238.9
800,28600.0
801,0.0
802,0.0
803,0.0
804,23403.66
805,17670.88
806,0.0
807,0.0
808,42510.8
809,6439.6
810,6440.3
811,22617.72
812,10366.72
813,1699.04
814,1200.19
815,21894.49
816,0.0
817,117.81
818,568.4
819,261.0
820,0.0
821,177.3
822,63.2
823,34800.0
824,168.04
825,11600.0
826,0.0
827,0.0
828,99.0
829,0.0
830,0.0
831,46400.0
832,0.0
833,25728.8
834,0.0
835,730.8
836,399.0
837,4766.66
838,1160.0
839,22.0
